startYear,runtimeMinutes
1918,72.81
1919,75.61
1920,74.33
1921,72.81
1922,76.07
1923,76.67
1924,77.86
1925,77.87
1926,78.85
1927,76.55
1928,78.5
1929,81.38
1930,81.21
1931,82.1
1932,80.93
1933,80.11
1934,81.9
1935,81.6
1936,82.62
1937,82.66
1938,84.92
1939,85.93
1940,85.36
1941,87.34
1942,86.84
1943,87.78
1944,87.89
1945,87.28
1946,87.91
1947,89.03
1948,89.43
1949,90.28
1950,90.56
1951,91.14
1952,92.43
1953,92.96
1954,93.57
1955,94.17
1956,93.58
1957,92.28
1958,92.74
1959,93.22
1960,93.43
1961,93.25
1962,94.64
1963,94.8
1964,95.23
1965,94.66
1966,93.74
1967,95.71
1968,95.66
1969,93.33
1970,93.67
1971,93.59
1972,92.54
1973,92.93
1974,93.44
1975,93.4
1976,93.52
1977,95.15
1978,94.09
1979,93.89
1980,95.26
1981,94.79
1982,94.51
1983,94.47
1984,94.67
1985,94.78
1986,94.48
1987,95.25
1988,95.05
1989,96.37
1990,96.14
1991,96.54
1992,96.82
1993,97.45
1994,96.79
1995,96.26
1996,97.23
1997,97.49
1998,96.58
1999,97.02
2000,95.9
2001,96.12
2002,96.16
2003,95.74
2004,95.02
2005,94.72
2006,94.45
2007,93.96
2008,93.27
2009,92.48
2010,92.33
2011,92.05
2012,91.74
2013,92.22
2014,92.58
2015,92.83
2016,93.25
2017,93.89
2018,94.65
2019,94.98
2020,92.68
2021,94.63
