,tconst,primaryTitle,startYear,genres,averageRating,numVotes,mainGenre,secondaryGenres
3631,tt0019760,Man with a Movie Camera,1929,"Documentary,Music",8.4,23970,Documentary,Music
4591,tt0021749,City Lights,1931,"Comedy,Drama,Romance",8.5,177064,Comedy,"Drama,Romance"
8232,tt0027977,Modern Times,1936,"Comedy,Drama,Family",8.5,230166,Comedy,"Drama,Family"
11211,tt0032553,The Great Dictator,1940,"Comedy,Drama,War",8.4,214406,Comedy,"Drama,War"
12603,tt0034583,Casablanca,1942,"Drama,Romance,War",8.5,545836,Drama,"Romance,War"
15446,tt0038650,It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,424593,Drama,"Family,Fantasy"
18394,tt0043014,Sunset Blvd.,1950,"Drama,Film-Noir",8.4,212415,Drama,Film-Noir
21385,tt0047396,Rear Window,1954,"Mystery,Thriller",8.5,468502,Mystery,Thriller
21454,tt0047478,Seven Samurai,1954,"Action,Adventure,Drama",8.6,330874,Action,"Adventure,Drama"
22140,tt0048473,Pather Panchali,1955,Drama,8.5,29124,Drama,
23230,tt0050083,12 Angry Men,1957,"Crime,Drama",9.0,735183,Crime,Drama
23810,tt0050825,Paths of Glory,1957,"Drama,War",8.4,188267,Drama,War
24098,tt0051201,Witness for the Prosecution,1957,"Crime,Drama,Mystery",8.4,117478,Crime,"Drama,Mystery"
26284,tt0054215,Psycho,1960,"Horror,Mystery,Thriller",8.5,635698,Horror,"Mystery,Thriller"
27625,tt0056058,Hara-Kiri,1962,"Action,Drama,Mystery",8.6,50050,Action,"Drama,Mystery"
28341,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy,War",8.4,469954,Comedy,War
28776,tt0057565,High and Low,1963,"Crime,Drama,Mystery",8.4,40255,Crime,"Drama,Mystery"
30547,tt0060196,"The Good, the Bad and the Ugly",1966,Western,8.8,722314,Western,
33092,tt0064116,Once Upon a Time in the West,1968,Western,8.5,316126,Western,
36120,tt0068646,The Godfather,1972,"Crime,Drama",9.2,1715521,Crime,Drama
38006,tt0071562,The Godfather: Part II,1974,"Crime,Drama",9.0,1191546,Crime,Drama
39176,tt0073486,One Flew Over the Cuckoo's Nest,1975,Drama,8.7,959332,Drama,
41136,tt0076759,Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy",8.6,1284534,Action,"Adventure,Fantasy"
42222,tt0078748,Alien,1979,"Horror,Sci-Fi",8.4,829608,Horror,Sci-Fi
42248,tt0078788,Apocalypse Now,1979,"Drama,Mystery,War",8.4,634003,Drama,"Mystery,War"
43384,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1212743,Action,"Adventure,Fantasy"
43886,tt0081505,The Shining,1980,"Drama,Horror",8.4,952718,Drama,Horror
44757,tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,"Action,Adventure",8.4,921866,Action,Adventure
48000,tt0088763,Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,1121402,Adventure,"Comedy,Sci-Fi"
51838,tt0095327,Grave of the Fireflies,1988,"Animation,Drama,War",8.5,255231,Animation,"Drama,War"
52095,tt0095765,Cinema Paradiso,1988,"Drama,Romance",8.5,247126,Drama,Romance
54270,tt0099685,Goodfellas,1990,"Biography,Crime,Drama",8.7,1078298,Biography,"Crime,Drama"
56063,tt0102926,The Silence of the Lambs,1991,"Crime,Drama,Horror",8.6,1342115,Crime,"Drama,Horror"
56141,tt0103064,Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.5,1039690,Action,Sci-Fi
56422,tt0103767,Baraka,1992,Documentary,8.6,37830,Documentary,
58765,tt0108052,Schindler's List,1993,"Biography,Drama,History",8.9,1274976,Biography,"Drama,History"
59597,tt0109830,Forrest Gump,1994,"Drama,Romance",8.8,1921014,Drama,Romance
59871,tt0110357,The Lion King,1994,"Adventure,Animation,Drama",8.5,990342,Adventure,"Animation,Drama"
59912,tt0110413,Léon: The Professional,1994,"Action,Crime,Drama",8.5,1090035,Action,"Crime,Drama"
60179,tt0110912,Pulp Fiction,1994,"Crime,Drama",8.9,1922449,Crime,Drama
60326,tt0111161,The Shawshank Redemption,1994,Drama,9.3,2484590,Drama,
61814,tt0114369,Se7en,1995,"Crime,Drama,Mystery",8.6,1529416,Crime,"Drama,Mystery"
62012,tt0114814,The Usual Suspects,1995,"Crime,Drama,Mystery",8.5,1034534,Crime,"Drama,Mystery"
63833,tt0118799,Life Is Beautiful,1997,"Comedy,Drama,Romance",8.6,656525,Comedy,"Drama,Romance"
64383,tt0119698,Princess Mononoke,1997,"Action,Adventure,Animation",8.4,367922,Action,"Adventure,Animation"
64899,tt0120586,American History X,1998,Drama,8.5,1072658,Drama,
64968,tt0120689,The Green Mile,1999,"Crime,Drama,Fantasy",8.6,1212357,Crime,"Drama,Fantasy"
65000,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,1742335,Action,"Adventure,Drama"
65057,tt0120815,Saving Private Ryan,1998,"Drama,War",8.6,1301608,Drama,War
68319,tt0133093,The Matrix,1999,"Action,Sci-Fi",8.7,1775090,Action,Sci-Fi
69391,tt0137523,Fight Club,1999,Drama,8.8,1957947,Drama,
75905,tt0167260,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",8.9,1721011,Action,"Adventure,Drama"
75906,tt0167261,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.7,1555923,Action,"Adventure,Drama"
77133,tt0172495,Gladiator,2000,"Action,Adventure,Drama",8.5,1409408,Action,"Adventure,Drama"
86961,tt0209144,Memento,2000,"Mystery,Thriller",8.4,1176060,Mystery,Thriller
93988,tt0245429,Spirited Away,2001,"Adventure,Animation,Family",8.6,700496,Adventure,"Animation,Family"
95604,tt0252487,The Chaos Class,1975,"Comedy,Drama",9.3,39243,Comedy,Drama
